#,QUANTITY,PART NUMBER,MANUFACTURER PART NUMBER,DESCRIPTION,CUSTOMER REFERENCE,BACKORDER,UNIT PRICE,EXTENDED PRICE
1,100,4878-1N4007CT-ND,1N4007,DIODE GEN PURP 1000V 1A DO204AC,,0,0.0478,4.78
2,2,5074-UIECRE_AAA-ND,UIECRE_AAA,CARBON S2 WIFI ESP32-S2,,0,9.37,18.74
3,2,4411-TS0010D-ND,TS0010D,2 CHANNEL RELAY,,0,6.12,12.24
4,1,2648-SC0251L-ND,SC0251L,MICROSD CARD 32GB SANDISK,,0,7.94,7.94
5,1,5214-SDMSDRWU3AC-ND,SDMSDRWU3AC,USB 3.0 SD/MICROSD CARD READER,,0,21.06,21.06
6,1,2648-SC0224-ND,SC0224,WHITE MICROHDMI TO STANDARD ADAP,,0,3.5,3.5
7,1,2648-SC1160-ND,SC1160,RASPBERRY PI 5 CASE BLACK/GREY,,0,10,10
8,1,1188-USB-SERIAL-F-ND,USB-SERIAL-F,OLINUXINO SERIAL CONSOLE CABLE,,0,6.39,6.39
9,2,1528-5183-ND,5183,DHT20 - AHT20 PIN MODULE - I2C T,,0,4.5,9
10,2,CC2136-ND,KS101,COVER PROTECTIVE SSR CLEAR,,0,5.8,11.6
11,2,1528-1964-ND,1954,"JUMPER WIRE M TO F 6"" 28AWG",,0,1.95,3.9
12,2,1568-1513-ND,PRT-12796,"JUMPER WIRE F/F 6"" 20PCS",,0,2.1,4.2
13,2,1568-1512-ND,PRT-12795,"JUMPER WIRE M/M 6"" 20PCS",,0,2.1,4.2
